#,0,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
DTD,WORD,#,BYTE,WORD,BYTE,BYTE,BYTE,WORD,WORD,WORD,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,WORD,WORD
NAM,ID,#,Type,UseAI,Type_1,Type_2,DeriveID,PosX,PosY,PosH,Stage,InitLvl,BornActID,DeadAct,BornFace,HitDead,DeadFinish,DropId,Dropodds
#,"Ω«…´ID°æ∏±±æ÷–Ω◊∂Œº‰∏ÙÃÓidŒ™65535,∆≥ˆ…˙µ„X◊¯±ÍŒ™º‰∏Ù◊¯±Í°ø",±∏◊¢,¿‡–Õ°æ0-NPC|1-BOSS|2-ƒæÕ∞|3-œ›⁄Â°ø,Ω«…´ π”√µƒAI°æ√ª”–ÃÓ65500°ø,∆‰À˚¿‡–Õ£∫0:ºÃ≥–Œª÷√≈……˙ 1:æ¯∂‘Œª÷√≈……˙(±Ì æ≈……˙◊¯±Í) 255:≤ª≈……˙(±Ì æ≥ˆ…˙◊¯±Í), «∑Ò «≈……˙π÷ŒÔ,À¿Õˆ≈……˙ID(÷ª÷ß≥÷±æ∆¡µƒID||––∫≈),≥ˆ…˙µ„X◊¯±Í,≥ˆ…˙µ„Y◊¯±Í,≥ˆ…˙µ„H◊¯±Í,À˘‘⁄∏±±æΩ◊∂Œ°æ≥« –ÃÓ0|–¸…Õ∫Õ¡‘ªÍÃÓ0°ø,Ω«…´≥ı ºµ»º∂,≥ˆ…˙’– Ω∂‘”¶µƒID|ActID,À¿Õˆ’– Ω∂‘”¶µƒID|ActID,0:ƒ¨»œµƒ∑ΩœÚ 1:œ‡∑¥µƒ∑ΩœÚ, «∑Ò…˙–ßÀ¿Õˆ, «∑ÒÀ¿Õˆ¡À≤≈ƒ‹Õ®π˝,µÙ¬‰id°æ65535¥˙±Ì√ª”–°ø,µÙ¬‰º∏¬ °æ∞Ÿ∑÷±»°ø
RAN,"[0,65535]",#,"[0,255]","[0,65500]","[0,255]","[0,1]","[0,255]","[0,65500]","[0,65500]","[0,65500]","[0,255]","[0,255]","[0,255]","[0,255]","[0,1]","[0,1]","[0,1]","[0,65535]","[0,100]"
0,1000,Ú·ÚÊª§Œ¿,0,11,255,0,255,550,60,0,0,1,10,255,0,0,1,65535,0
1,1000,Ú·ÚÊª§Œ¿,0,11,255,0,255,550,160,0,0,1,10,255,0,0,1,65535,0
2,1006,Ã˙¥∏ Øæﬁ»À,0,12,255,0,255,700,20,0,0,1,10,255,0,0,1,65535,0
3,1006,Ã˙¥∏ Øæﬁ»À,0,12,255,0,255,700,120,0,0,1,10,255,0,0,1,65535,0
4,1006,Ã˙¥∏ Øæﬁ»À,0,12,255,0,255,700,220,0,0,1,10,255,0,0,1,65535,0
5,382,‘… Ø,2,0,255,0,255,900,220,0,0,1,255,255,0,0,0,65535,0
6,371,ƒæÕ∞,2,0,255,0,255,900,220,0,0,1,255,255,0,0,0,65535,0
7,65535,µ⁄“ª∆¡,0,0,255,0,255,1000,250,0,0,1,255,255,0,0,1,65535,0
8,1000,Ú·ÚÊª§Œ¿,0,11,255,0,255,1300,20,0,1,1,10,255,0,0,1,65535,0
9,1000,Ú·ÚÊª§Œ¿,0,11,255,0,255,1300,220,0,1,1,10,255,0,0,1,65535,0
10,1000,Ú·ÚÊª§Œ¿,0,11,255,0,255,1300,120,0,1,1,10,255,0,0,1,65535,0
11,379,¥•∑¢∆˜,4,0,1,0,16,1500,200,0,1,1,255,255,0,1,0,65535,0
12,379,¥•∑¢∆˜,4,0,1,0,14,1500,200,0,1,1,255,255,0,1,0,65535,0
13,379,¥•∑¢∆˜,4,0,1,0,15,1500,200,0,1,1,255,255,0,1,0,65535,0
14,1006,Ã˙¥∏ Øæﬁ»À,0,12,255,1,255,1850,20,0,1,1,10,255,0,0,1,65535,0
15,1006,Ã˙¥∏ Øæﬁ»À,0,12,255,1,255,1850,120,0,1,1,10,255,0,0,1,65535,0
16,1006,Ã˙¥∏ Øæﬁ»À,0,12,255,1,255,1850,220,0,1,1,10,255,0,0,1,65535,0
17,382,‘… Ø,2,0,255,0,255,1300,220,0,1,1,255,255,0,0,0,65535,0
18,371,ƒæÕ∞,2,0,255,0,255,1500,20,0,1,1,255,255,0,0,0,65535,0
19,65535,µ⁄∂˛∆¡,0,0,255,0,255,2000,250,0,1,1,255,255,0,0,1,65535,0
20,1000,Ú·ÚÊª§Œ¿,0,11,255,0,255,2550,20,0,2,1,10,255,0,0,1,65535,0
21,1006,Ã˙¥∏ Øæﬁ»À,0,12,255,0,255,2550,120,0,2,1,10,255,0,0,1,65535,0
22,1000,Ú·ÚÊª§Œ¿,0,11,255,0,255,2550,220,0,2,1,10,255,0,0,1,65535,0
23,371,ƒæÕ∞,2,0,255,0,255,2700,220,0,2,1,255,255,0,0,0,65535,0
24,65535,µ⁄»˝∆¡,0,0,255,0,255,3000,250,0,2,1,255,255,0,0,1,65535,0
25,1000,Ú·ÚÊª§Œ¿,0,11,255,0,255,2350,20,1000,3,1,10,255,0,0,1,65535,0
26,1006,Ã˙¥∏ Øæﬁ»À,0,12,255,0,255,2400,120,1100,3,1,10,255,1,0,1,65535,0
27,1000,Ú·ÚÊª§Œ¿,0,11,255,0,255,2350,220,1000,3,1,10,255,0,0,1,65535,0
28,1007, Ø»–¿≠‘Û∂˚,0,11,255,0,255,1900,120,1300,3,1,10,255,1,0,1,65535,0
29,1000,Ú·ÚÊª§Œ¿,0,11,255,0,255,2800,120,1200,3,1,10,255,0,0,1,65535,0
30,1008,∏Á≤º¡÷øÛπ§,0,11,255,0,255,2800,20,1000,3,1,10,255,0,0,1,65535,0
31,1000,Ú·ÚÊª§Œ¿,0,11,255,0,255,2800,220,1200,3,1,10,255,0,0,1,65535,0
