#,0,1,2,3,4,5,6,7,8
DTD,WORD,BYTE,BYTE,SHORT,SHORT,SHORT,SHORT,BYTE,WORD
NAM,SprId,IdType,Layer,DX,DY,OffsetX,OffsetY,Loop,Move
#,“˝”√ID°æ∏˘æ›∫Û√Êµƒ¿‡–Õæˆ∂®À˜“˝ƒƒ’≈±Ì°ø,ID¿‡–Õ°æ0:æ´¡È[æ≤Ã¨]|1:Ãÿ–ß[Õ¨≤„ª·∏≤∏«æ´¡È]°ø,≤„¿‡–Õ°æ0:‘∂æ∞|1:÷–æ∞|2:µÿ√Ê|3:«∞æ∞°ø,‰÷»æµΩX°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,‰÷»æµΩY°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,∆´“∆X°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,∆´“∆Y°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,—≠ª∑¥Œ ˝,"“∆∂Ø«ß∑÷±»°æ‘∂æ∞Ω®“È0|÷–æ∞(0,1000)|µÿ√Ê±ÿ–ÎŒ™1000|Ω¸æ∞±ÿ–Î¥Û”⁄1000°ø"
RAN,"[0,65500]","[0,250]","[0,250]","[-32000,32000]","[-32000,32000]","[-32000,32000]","[-32000,32000]","[1,250]","[0,65500]"
0,30140,0,2,0,0,0,0,3,1000
1,30141,0,3,0,0,0,0,3,1200
2,25070,1,2,250,379,0,0,1,1000
3,25070,1,2,816,379,0,0,1,1000
4,25070,1,2,1274,379,0,0,1,1000
5,25070,1,2,1840,379,0,0,1,1000
6,25070,1,2,2298,379,0,0,1,1000
7,25070,1,2,2864,379,0,0,1,1000
8,25115,1,3,231,159,0,0,1,1200
9,25115,1,3,646,154,0,0,1,1200
10,25115,1,3,1085,159,0,0,1,1200
11,25115,1,3,1500,154,0,0,1,1200
12,25115,1,3,1891,159,0,0,1,1200
13,25115,1,3,2306,154,0,0,1,1200
