#,0,1,2,3,4,5,6,7,8
DTD,WORD,BYTE,BYTE,SHORT,SHORT,SHORT,SHORT,BYTE,WORD
NAM,SprId,IdType,Layer,DX,DY,OffsetX,OffsetY,Loop,Move
#,“˝”√ID°æ∏˘æ›∫Û√Êµƒ¿‡–Õæˆ∂®À˜“˝ƒƒ’≈±Ì°ø,ID¿‡–Õ°æ0:æ´¡È[æ≤Ã¨]|1:Ãÿ–ß[Õ¨≤„ª·∏≤∏«æ´¡È]°ø,≤„¿‡–Õ°æ0:‘∂æ∞|1:÷–æ∞|2:µÿ√Ê|3:«∞æ∞°ø,‰÷»æµΩX°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,‰÷»æµΩY°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,∆´“∆X°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,∆´“∆Y°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,—≠ª∑¥Œ ˝,"“∆∂Ø«ß∑÷±»°æ‘∂æ∞Ω®“È0|÷–æ∞(0,1000)|µÿ√Ê±ÿ–ÎŒ™1000|Ω¸æ∞±ÿ–Î¥Û”⁄1000°ø"
RAN,"[0,65500]","[0,250]","[0,250]","[-32000,32000]","[-32000,32000]","[-32000,32000]","[-32000,32000]","[1,250]","[0,65500]"
0,30010,0,0,0,432,0,0,1,600
1,30011,0,0,2083,432,0,0,1,600
2,30012,0,1,0,317,0,0,1,800
3,30013,0,1,1563,315,0,0,1,800
4,30014,0,2,0,0,0,0,1,1000
5,30015,0,2,1250,0,0,0,1,1000
6,30016,0,3,0,0,0,0,1,1100
7,30017,0,3,1136,0,0,0,1,1100
8,2500,1,2,1163,474,0,0,1,1000
9,2505,1,2,1968,530,0,0,1,1000
10,2575,1,2,730,235,0,0,1,1000
