#,0,1,2,3,4,5,6,7,8
DTD,WORD,BYTE,BYTE,SHORT,SHORT,SHORT,SHORT,BYTE,WORD
NAM,SprId,IdType,Layer,DX,DY,OffsetX,OffsetY,Loop,Move
#,“˝”√ID°æ∏˘æ›∫Û√Êµƒ¿‡–Õæˆ∂®À˜“˝ƒƒ’≈±Ì°ø,ID¿‡–Õ°æ0:æ´¡È[æ≤Ã¨]|1:Ãÿ–ß[Õ¨≤„ª·∏≤∏«æ´¡È]°ø,≤„¿‡–Õ°æ0:‘∂æ∞|1:÷–æ∞|2:µÿ√Ê|3:«∞æ∞°ø,‰÷»æµΩX°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,‰÷»æµΩY°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,∆´“∆X°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,∆´“∆Y°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,—≠ª∑¥Œ ˝,"“∆∂Ø«ß∑÷±»°æ‘∂æ∞Ω®“È0|÷–æ∞(0,1000)|µÿ√Ê±ÿ–ÎŒ™1000|Ω¸æ∞±ÿ–Î¥Û”⁄1000°ø"
RAN,"[0,65500]","[0,250]","[0,250]","[-32000,32000]","[-32000,32000]","[-32000,32000]","[-32000,32000]","[1,250]","[0,65500]"
0,30180,0,2,0,0,0,0,3,1000
1,30181,0,3,0,0,0,0,3,1200
2,25085,1,2,56,467,0,0,1,1000
3,25085,1,2,493,467,0,0,1,1000
4,25085,1,2,1080,467,0,0,1,1000
5,25085,1,2,1517,467,0,0,1,1000
6,25085,1,2,2104,467,0,0,1,1000
7,25085,1,2,2541,467,0,0,1,1000
8,25125,1,2,861,253,0,0,1,1000
9,25125,1,2,1885,253,0,0,1,1000
10,25125,1,2,2909,253,0,0,1,1000
