#,0,1,2,3,4,5,6,7,8
DTD,WORD,BYTE,BYTE,SHORT,SHORT,SHORT,SHORT,BYTE,WORD
NAM,SprId,IdType,Layer,DX,DY,OffsetX,OffsetY,Loop,Move
#,“˝”√ID°æ∏˘æ›∫Û√Êµƒ¿‡–Õæˆ∂®À˜“˝ƒƒ’≈±Ì°ø,ID¿‡–Õ°æ0:æ´¡È[æ≤Ã¨]|1:Ãÿ–ß[Õ¨≤„ª·∏≤∏«æ´¡È]°ø,≤„¿‡–Õ°æ0:‘∂æ∞|1:÷–æ∞|2:µÿ√Ê|3:«∞æ∞°ø,‰÷»æµΩX°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,‰÷»æµΩY°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,∆´“∆X°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,∆´“∆Y°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,—≠ª∑¥Œ ˝,"“∆∂Ø«ß∑÷±»°æ‘∂æ∞Ω®“È0|÷–æ∞(0,1000)|µÿ√Ê±ÿ–ÎŒ™1000|Ω¸æ∞±ÿ–Î¥Û”⁄1000°ø"
RAN,"[0,65500]","[0,250]","[0,250]","[-32000,32000]","[-32000,32000]","[-32000,32000]","[-32000,32000]","[1,250]","[0,65500]"
0,30020,0,0,0,196,0,0,1,800
1,30021,0,0,1563,196,0,0,1,800
2,30022,0,1,0,186,0,0,1,900
3,30023,0,1,1389,186,0,0,1,900
4,30024,0,2,0,0,0,0,1,1000
5,30025,0,2,1250,0,0,0,1,1000
6,30026,0,3,0,-8,0,0,1,1000
7,30027,0,3,1250,-8,0,0,1,1000
