#,0,1,2,3,4,5,6,7,8
DTD,WORD,BYTE,BYTE,SHORT,SHORT,SHORT,SHORT,BYTE,WORD
NAM,SprId,IdType,Layer,DX,DY,OffsetX,OffsetY,Loop,Move
#,“˝”√ID°æ∏˘æ›∫Û√Êµƒ¿‡–Õæˆ∂®À˜“˝ƒƒ’≈±Ì°ø,ID¿‡–Õ°æ0:æ´¡È[æ≤Ã¨]|1:Ãÿ–ß[Õ¨≤„ª·∏≤∏«æ´¡È]°ø,≤„¿‡–Õ°æ0:‘∂æ∞|1:÷–æ∞|2:µÿ√Ê|3:«∞æ∞°ø,‰÷»æµΩX°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,‰÷»æµΩY°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,∆´“∆X°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,∆´“∆Y°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,—≠ª∑¥Œ ˝,"“∆∂Ø«ß∑÷±»°æ‘∂æ∞Ω®“È0|÷–æ∞(0,1000)|µÿ√Ê±ÿ–ÎŒ™1000|Ω¸æ∞±ÿ–Î¥Û”⁄1000°ø"
RAN,"[0,65500]","[0,250]","[0,250]","[-32000,32000]","[-32000,32000]","[-32000,32000]","[-32000,32000]","[1,250]","[0,65500]"
0,30090,0,0,0,366,0,0,3,800
1,30091,0,2,0,0,0,0,3,1000
2,30092,0,3,0,0,0,0,3,1200
3,25020,1,2,200,260,0,0,1,1000
4,25025,1,2,510,345,0,0,1,1000
5,25020,1,2,750,260,0,0,1,1000
6,25020,1,2,1044,260,0,0,1,1000
7,25025,1,2,1534,345,0,0,1,1000
8,25020,1,2,1774,260,0,0,1,1000
9,25020,1,2,2068,260,0,0,1,1000
10,25025,1,2,2558,345,0,0,1,1000
11,25020,1,2,2798,260,0,0,1,1000
