#,0,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
DTD,WORD,#,BYTE,WORD,BYTE,BYTE,BYTE,WORD,WORD,WORD,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,WORD,WORD
NAM,ID,#,Type,UseAI,Type_1,Type_2,DeriveID,PosX,PosY,PosH,Stage,InitLvl,BornActID,DeadAct,BornFace,HitDead,DeadFinish,DropId,Dropodds
#,"Ω«…´ID°æ∏±±æ÷–Ω◊∂Œº‰∏ÙÃÓidŒ™65535,∆≥ˆ…˙µ„X◊¯±ÍŒ™º‰∏Ù◊¯±Í°ø",±∏◊¢,¿‡–Õ°æ0-NPC|1-BOSS|2-ƒæÕ∞|3-œ›⁄Â°ø,Ω«…´ π”√µƒAI°æ√ª”–ÃÓ65500°ø,∆‰À˚¿‡–Õ£∫0:ºÃ≥–Œª÷√≈……˙ 1:æ¯∂‘Œª÷√≈……˙(±Ì æ≈……˙◊¯±Í) 255:≤ª≈……˙(±Ì æ≥ˆ…˙◊¯±Í), «∑Ò «≈……˙π÷ŒÔ,À¿Õˆ≈……˙ID(÷ª÷ß≥÷±æ∆¡µƒID||––∫≈),≥ˆ…˙µ„X◊¯±Í,≥ˆ…˙µ„Y◊¯±Í,≥ˆ…˙µ„H◊¯±Í,À˘‘⁄∏±±æΩ◊∂Œ°æ≥« –ÃÓ0|–¸…Õ∫Õ¡‘ªÍÃÓ0°ø,Ω«…´≥ı ºµ»º∂,≥ˆ…˙’– Ω∂‘”¶µƒID|ActID,À¿Õˆ’– Ω∂‘”¶µƒID|ActID,0:ƒ¨»œµƒ∑ΩœÚ 1:œ‡∑¥µƒ∑ΩœÚ, «∑Ò…˙–ßÀ¿Õˆ, «∑ÒÀ¿Õˆ¡À≤≈ƒ‹Õ®π˝,µÙ¬‰id°æ65535¥˙±Ì√ª”–°ø,µÙ¬‰º∏¬ °æ∞Ÿ∑÷±»°ø
RAN,"[0,65535]",#,"[0,255]","[0,65500]","[0,255]","[0,1]","[0,255]","[0,65500]","[0,65500]","[0,65500]","[0,255]","[0,255]","[0,255]","[0,255]","[0,1]","[0,1]","[0,1]","[0,65535]","[0,100]"
0,601, ≥√Œ“œ,0,0,255,0,255,700,60,0,0,1,10,255,0,0,1,65535,0
1,601, ≥√Œ“œ,0,0,255,0,255,700,200,0,0,1,10,255,0,0,1,65535,0
2,175,ª®œ…◊”,0,1,255,0,255,700,130,0,0,1,10,255,0,0,1,65535,0
3,371,ƒæÕ∞,2,0,255,0,255,400,240,0,0,1,255,255,0,0,0,0,100
4,371,ƒæÕ∞,2,0,255,0,255,500,240,0,0,1,255,255,0,0,0,0,100
5,65535,µ⁄“ª∆¡µ⁄“ªΩ◊∂Œ,0,65500,255,0,255,1000,250,0,0,1,255,255,0,0,0,65535,0
6,601, ≥√Œ“œ,0,0,255,0,255,700,20,0,1,1,10,255,0,0,1,65535,0
7,601, ≥√Œ“œ,0,0,255,0,255,700,75,0,1,1,10,255,0,0,1,65535,0
8,175,ª®œ…◊”,0,1,255,0,255,700,185,0,1,1,10,255,0,0,1,65535,0
9,175,ª®œ…◊”,0,1,255,0,255,700,240,0,1,1,10,255,0,0,1,65535,0
10,65535,µ⁄“ª∆¡µ⁄∂˛Ω◊∂Œ,0,65500,255,0,255,1000,250,0,1,1,255,255,0,0,0,65535,0
11,379,¥•∑¢∆˜,4,65500,1,0,13,1500,200,0,2,1,255,255,0,1,0,65535,0
12,379,¥•∑¢∆˜,4,65500,1,0,14,1500,200,0,2,1,255,255,0,1,0,65535,0
13,381,ªÓ∂Øµÿ¥Ã,3,0,255,1,255,1200,185,0,2,1,255,255,0,0,0,65535,0
14,381,ªÓ∂Øµÿ¥Ã,3,0,255,1,255,1200,75,0,2,1,255,255,0,0,0,65535,0
15,381,ªÓ∂Øµÿ¥Ã,3,0,255,0,255,1400,240,0,2,1,255,255,0,0,0,65535,0
16,381,ªÓ∂Øµÿ¥Ã,3,0,255,0,255,1400,20,0,2,1,255,255,0,0,0,65535,0
17,381,ªÓ∂Øµÿ¥Ã,3,0,255,0,255,1600,240,0,2,1,255,255,0,0,0,65535,0
18,381,ªÓ∂Øµÿ¥Ã,3,0,255,0,255,1600,20,0,2,1,255,255,0,0,0,65535,0
19,381,ªÓ∂Øµÿ¥Ã,3,0,255,0,255,1800,185,0,2,1,255,255,0,0,0,65535,0
20,381,ªÓ∂Øµÿ¥Ã,3,0,255,0,255,1800,75,0,2,1,255,255,0,0,0,65535,0
21,379,¥•∑¢∆˜,4,65500,1,0,29,1500,200,0,2,1,255,255,0,1,0,65535,0
22,379,¥•∑¢∆˜,4,65500,1,0,30,1500,200,0,2,1,255,255,0,1,0,65535,0
23,379,¥•∑¢∆˜,4,65500,1,0,31,1500,200,0,2,1,255,255,0,1,0,65535,0
24,379,¥•∑¢∆˜,4,65500,1,0,32,1500,200,0,2,1,255,255,0,1,0,65535,0
25,379,¥•∑¢∆˜,4,65500,1,0,33,1500,200,0,2,1,255,255,0,1,0,65535,0
26,379,¥•∑¢∆˜,4,65500,1,0,34,1500,200,0,2,1,255,255,0,1,0,65535,0
27,379,¥•∑¢∆˜,4,65500,1,0,35,1500,200,0,2,1,255,255,0,1,0,65535,0
28,379,¥•∑¢∆˜,4,65500,1,0,36,1500,200,0,2,1,255,255,0,1,0,65535,0
29,375,πˆÕ≤,2,0,255,1,255,2000,130,0,2,1,255,255,0,0,0,0,50
30,375,πˆÕ≤,2,0,255,1,255,2100,185,0,2,1,255,255,0,0,0,0,50
31,375,πˆÕ≤,2,0,255,1,255,2100,75,0,2,1,255,255,0,0,0,0,50
32,375,πˆÕ≤,2,0,255,1,255,2200,240,0,2,1,255,255,0,0,0,0,50
