#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
DTD,WORD,BYTE,WORD,BYTE,BYTE,BYTE,WORD,WORD,WORD,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,WORD,WORD
NAM,ID,Type,UseAI,Type_1,Type_2,DeriveID,PosX,PosY,PosH,Stage,InitLvl,BornActID,DeadAct,BornFace,HitDead,DeadFinish,DropId,Dropodds
#,"Ω«…´ID°æ∏±±æ÷–Ω◊∂Œº‰∏ÙÃÓidŒ™65535,∆≥ˆ…˙µ„X◊¯±ÍŒ™º‰∏Ù◊¯±Í°ø",¿‡–Õ°æ0-NPC|1-BOSS|2-ƒæÕ∞|3-œ›⁄Â°ø,Ω«…´ π”√µƒAI°æ√ª”–ÃÓ65500°ø,∆‰À˚¿‡–Õ£∫0:ºÃ≥–Œª÷√≈……˙ 1:æ¯∂‘Œª÷√≈……˙(±Ì æ≈……˙◊¯±Í) 255:≤ª≈……˙(±Ì æ≥ˆ…˙◊¯±Í), «∑Ò «≈……˙π÷ŒÔ,À¿Õˆ≈……˙ID(÷ª÷ß≥÷±æ∆¡µƒID||––∫≈),≥ˆ…˙µ„X◊¯±Í,≥ˆ…˙µ„Y◊¯±Í,≥ˆ…˙µ„H◊¯±Í,À˘‘⁄∏±±æΩ◊∂Œ°æ≥« –ÃÓ0|–¸…Õ∫Õ¡‘ªÍÃÓ0°ø,Ω«…´≥ı ºµ»º∂,≥ˆ…˙’– Ω∂‘”¶µƒID|ActID,À¿Õˆ’– Ω∂‘”¶µƒID|ActID,0:ƒ¨»œµƒ∑ΩœÚ 1:œ‡∑¥µƒ∑ΩœÚ, «∑Ò…˙–ßÀ¿Õˆ, «∑ÒÀ¿Õˆ¡À≤≈ƒ‹Õ®π˝,µÙ¬‰id°æ65535¥˙±Ì√ª”–°ø,µÙ¬‰º∏¬ °æ∞Ÿ∑÷±»°ø
RAN,"[0,65535]","[0,255]","[0,65500]","[0,255]","[0,1]","[0,255]","[0,65500]","[0,65500]","[0,65500]","[0,255]","[0,255]","[0,255]","[0,255]","[0,1]","[0,1]","[0,1]","[0,65535]","[0,100]"
0,515,0,0,255,0,255,950,50,0,0,1,255,255,0,0,1,65535,0
1,515,0,0,255,0,255,950,100,0,0,1,255,255,0,0,1,65535,0
2,515,0,0,255,0,255,950,200,0,0,1,255,255,0,0,1,65535,0
3,517,0,65500,255,0,255,1050,130,0,0,1,255,255,0,0,1,65535,0
4,65535,0,0,255,0,255,1200,250,0,0,1,255,255,0,0,1,65535,0
5,515,0,0,255,0,255,1550,50,0,1,1,255,255,0,0,1,65535,0
6,515,0,0,255,0,255,1550,130,0,1,1,255,255,0,0,1,65535,0
7,515,0,0,255,0,255,1550,200,0,1,1,255,255,0,0,1,65535,0
8,516,0,0,255,0,255,1600,60,0,1,1,255,255,0,0,1,65535,0
9,516,0,0,255,0,255,1600,160,0,1,1,255,255,0,0,1,65535,0
10,517,1,8,255,0,255,1650,130,0,1,1,255,255,0,0,1,65535,0
11,65535,0,0,255,0,255,1850,250,0,1,1,255,255,0,0,1,65535,0
