#,0,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
DTD,WORD,#,BYTE,WORD,BYTE,BYTE,BYTE,WORD,WORD,WORD,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,WORD,WORD
NAM,ID,#,Type,UseAI,Type_1,Type_2,DeriveID,PosX,PosY,PosH,Stage,InitLvl,BornActID,DeadAct,BornFace,HitDead,DeadFinish,DropId,Dropodds
#,"Ω«…´ID°æ∏±±æ÷–Ω◊∂Œº‰∏ÙÃÓidŒ™65535,∆≥ˆ…˙µ„X◊¯±ÍŒ™º‰∏Ù◊¯±Í°ø",±∏◊¢,¿‡–Õ°æ0-NPC|1-BOSS|2-ƒæÕ∞|3-œ›⁄Â°ø,Ω«…´ π”√µƒAI°æ√ª”–ÃÓ65500°ø,∆‰À˚¿‡–Õ£∫0:ºÃ≥–Œª÷√≈……˙ 1:æ¯∂‘Œª÷√≈……˙(±Ì æ≈……˙◊¯±Í) 255:≤ª≈……˙(±Ì æ≥ˆ…˙◊¯±Í), «∑Ò «≈……˙π÷ŒÔ,À¿Õˆ≈……˙ID(÷ª÷ß≥÷±æ∆¡µƒID||––∫≈),≥ˆ…˙µ„X◊¯±Í,≥ˆ…˙µ„Y◊¯±Í,≥ˆ…˙µ„H◊¯±Í,À˘‘⁄∏±±æΩ◊∂Œ°æ≥« –ÃÓ0|–¸…Õ∫Õ¡‘ªÍÃÓ0°ø,Ω«…´≥ı ºµ»º∂,≥ˆ…˙’– Ω∂‘”¶µƒID|ActID,À¿Õˆ’– Ω∂‘”¶µƒID|ActID,0:ƒ¨»œµƒ∑ΩœÚ 1:œ‡∑¥µƒ∑ΩœÚ, «∑Ò…˙–ßÀ¿Õˆ, «∑ÒÀ¿Õˆ¡À≤≈ƒ‹Õ®π˝,µÙ¬‰id°æ65535¥˙±Ì√ª”–°ø,µÙ¬‰º∏¬ °æ∞Ÿ∑÷±»°ø
RAN,"[0,65535]",#,"[0,255]","[0,65500]","[0,255]","[0,1]","[0,255]","[0,65500]","[0,65500]","[0,65500]","[0,255]","[0,255]","[0,255]","[0,255]","[0,1]","[0,1]","[0,1]","[0,65535]","[0,100]"
0,179,»‹Ω‚π÷,0,1,255,0,255,600,60,0,0,1,10,255,0,0,1,65535,0
1,179,»‹Ω‚π÷,0,1,255,0,255,600,200,0,0,1,10,255,0,0,1,65535,0
2,179,»‹Ω‚π÷,0,1,255,0,255,700,130,0,0,1,10,255,0,0,1,65535,0
3,371,ƒæÕ∞,2,0,255,0,255,400,240,0,0,1,255,255,0,0,0,65535,0
4,371,ƒæÕ∞,2,0,255,0,255,500,240,0,0,1,255,255,0,0,0,65535,0
5,379,¥•∑¢∆˜,4,0,1,0,14,300,200,0,0,1,255,255,0,1,0,65535,0
6,379,¥•∑¢∆˜,4,0,1,0,15,300,200,0,0,1,255,255,0,1,0,65535,0
7,379,¥•∑¢∆˜,4,0,1,0,16,300,200,0,0,1,255,255,0,1,0,65535,0
8,379,¥•∑¢∆˜,4,0,1,0,17,300,200,0,0,1,255,255,0,1,0,65535,0
9,379,¥•∑¢∆˜,4,0,1,0,18,300,200,0,0,1,255,255,0,1,0,65535,0
10,379,¥•∑¢∆˜,4,0,1,0,19,300,200,0,0,1,255,255,0,1,0,65535,0
11,379,¥•∑¢∆˜,4,0,1,0,20,300,200,0,0,1,255,255,0,1,0,65535,0
12,379,¥•∑¢∆˜,4,0,1,0,21,300,200,0,0,1,255,255,0,1,0,65535,0
13,379,¥•∑¢∆˜,4,0,1,0,22,300,200,0,0,1,255,255,0,1,0,65535,0
14,375,πˆÕ≤,2,0,1,1,255,1100,120,0,0,1,255,255,0,0,0,65535,0
15,375,πˆÕ≤,2,0,1,1,255,1500,120,0,0,1,255,255,0,0,0,0,100
16,375,πˆÕ≤,2,0,1,1,255,1900,120,0,0,1,255,255,0,0,0,65535,0
17,375,πˆÕ≤,2,0,1,1,255,1100,20,0,0,1,255,255,0,0,0,65535,0
18,375,πˆÕ≤,2,0,1,1,255,1500,20,0,0,1,255,255,0,0,0,0,100
19,375,πˆÕ≤,2,0,1,1,255,1900,20,0,0,1,255,255,0,0,0,65535,0
20,375,πˆÕ≤,2,0,1,1,255,1100,220,0,0,1,255,255,0,0,0,65535,0
21,375,πˆÕ≤,2,0,1,1,255,1500,220,0,0,1,255,255,0,0,0,0,100
22,375,πˆÕ≤,2,0,1,1,255,1900,220,0,0,1,255,255,0,0,0,65535,0
23,65535,µ⁄“ª∆¡µ⁄“ªΩ◊∂Œ,0,0,255,0,255,1000,250,0,0,1,255,255,0,0,1,65535,0
24,189,±˘…ﬂ,0,0,255,0,255,600,40,0,1,1,10,255,0,0,1,65535,0
25,189,±˘…ﬂ,0,0,255,0,255,600,220,0,1,1,10,255,0,0,1,65535,0
26,189,±˘…ﬂ,0,0,255,0,255,500,110,0,1,1,10,255,0,0,1,65535,0
27,65535,µ⁄“ª∆¡µ⁄∂˛Ω◊∂Œ,0,0,255,0,255,1000,250,0,1,1,255,255,0,0,1,65535,0
28,179,»‹Ω‚π÷,0,1,255,0,255,1200,40,0,2,1,10,255,0,0,1,65535,0
29,179,»‹Ω‚π÷,0,1,255,0,255,1200,220,0,2,1,10,255,0,0,1,65535,0
30,189,±˘…ﬂ,0,0,255,0,255,1250,110,0,2,1,10,255,0,0,1,65535,0
31,379,¥•∑¢∆˜,4,0,1,0,36,1500,200,0,2,1,255,255,0,1,0,65535,0
32,379,¥•∑¢∆˜,4,0,1,0,37,1500,200,0,2,1,255,255,0,1,0,65535,0
33,379,¥•∑¢∆˜,4,0,1,0,38,1500,200,0,2,1,255,255,0,1,0,65535,0
34,379,¥•∑¢∆˜,4,0,1,0,39,1500,200,0,2,1,255,255,0,1,0,65535,0
