#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
DTD,WORD,BYTE,WORD,BYTE,BYTE,BYTE,WORD,WORD,WORD,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,WORD,WORD
NAM,ID,Type,UseAI,Type_1,Type_2,DeriveID,PosX,PosY,PosH,Stage,InitLvl,BornActID,DeadAct,BornFace,HitDead,DeadFinish,DropId,Dropodds
#,"Ω«…´ID°æ∏±±æ÷–Ω◊∂Œº‰∏ÙÃÓidŒ™65535,∆≥ˆ…˙µ„X◊¯±ÍŒ™º‰∏Ù◊¯±Í°ø",¿‡–Õ°æ0-NPC|1-BOSS|2-ƒæÕ∞|3-œ›⁄Â°ø,Ω«…´ π”√µƒAI°æ√ª”–ÃÓ65500°ø,∆‰À˚¿‡–Õ£∫0:ºÃ≥–Œª÷√≈……˙ 1:æ¯∂‘Œª÷√≈……˙(±Ì æ≈……˙◊¯±Í) 255:≤ª≈……˙(±Ì æ≥ˆ…˙◊¯±Í), «∑Ò «≈……˙π÷ŒÔ,À¿Õˆ≈……˙ID(÷ª÷ß≥÷±æ∆¡µƒID||––∫≈),≥ˆ…˙µ„X◊¯±Í,≥ˆ…˙µ„Y◊¯±Í,≥ˆ…˙µ„H◊¯±Í,À˘‘⁄∏±±æΩ◊∂Œ°æ≥« –ÃÓ0|–¸…Õ∫Õ¡‘ªÍÃÓ0°ø,Ω«…´≥ı ºµ»º∂,≥ˆ…˙’– Ω∂‘”¶µƒID|ActID,À¿Õˆ’– Ω∂‘”¶µƒID|ActID,0:ƒ¨»œµƒ∑ΩœÚ 1:œ‡∑¥µƒ∑ΩœÚ, «∑Ò…˙–ßÀ¿Õˆ, «∑ÒÀ¿Õˆ¡À≤≈ƒ‹Õ®π˝,µÙ¬‰id°æ65535¥˙±Ì√ª”–°ø,µÙ¬‰º∏¬ °æ∞Ÿ∑÷±»°ø
RAN,"[0,65535]","[0,255]","[0,65500]","[0,255]","[0,1]","[0,255]","[0,65500]","[0,65500]","[0,65500]","[0,255]","[0,255]","[0,255]","[0,255]","[0,1]","[0,1]","[0,1]","[0,65535]","[0,100]"
0,506,0,0,255,0,255,550,130,0,0,1,255,255,0,0,1,65535,0
1,506,0,0,255,0,255,550,40,0,0,1,255,255,0,0,1,65535,0
2,506,0,0,255,0,255,550,220,0,0,1,255,255,0,0,1,65535,0
3,507,0,0,255,0,255,700,180,0,0,1,255,255,0,0,1,65535,0
4,507,0,0,255,0,255,700,90,0,0,1,255,255,0,0,1,65535,0
5,508,0,1,255,0,255,850,60,0,0,1,255,255,0,0,1,65535,0
6,512,0,2,255,0,255,900,130,0,0,1,255,255,0,0,1,65535,0
7,508,0,1,255,0,255,850,220,0,0,1,255,255,0,0,1,65535,0
8,65535,0,0,255,0,255,1000,250,0,0,1,255,255,0,0,1,65535,0
9,509,0,0,255,0,255,1550,100,0,1,1,255,255,0,0,1,65535,0
10,506,0,0,255,0,255,1550,200,0,1,1,255,255,0,0,1,65535,0
11,506,0,0,255,0,255,1550,50,0,1,1,255,255,0,0,1,65535,0
12,509,0,0,255,0,255,1700,150,0,1,1,255,255,0,0,1,65535,0
13,508,0,1,255,0,255,1700,160,0,1,1,255,255,0,0,1,65535,0
14,508,0,1,255,0,255,1700,60,0,1,1,255,255,0,0,1,65535,0
15,511,0,2,255,0,255,1850,110,0,1,1,255,255,0,0,1,65535,0
16,65535,0,0,255,0,255,2000,250,0,1,1,255,255,0,0,1,65535,0
17,508,0,1,255,0,255,2550,130,0,2,1,255,255,0,0,1,65535,0
18,508,0,1,255,0,255,2550,40,0,2,1,255,255,0,0,1,65535,0
19,508,0,1,255,0,255,2550,220,0,2,1,255,255,0,0,1,65535,0
20,510,0,1,255,0,255,2700,160,0,2,1,255,255,0,0,1,65535,0
21,510,0,1,255,0,255,2700,80,0,2,1,255,255,0,0,1,65535,0
22,506,0,0,255,0,255,2850,60,0,2,1,255,255,0,0,1,65535,0
23,506,0,0,255,0,255,2850,160,0,2,1,255,255,0,0,1,65535,0
24,513,1,4,255,0,255,2900,130,0,2,1,255,255,0,0,1,65535,0
25,65535,0,0,255,0,255,3000,250,0,2,1,255,255,0,0,1,65535,0
