#,0,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
DTD,WORD,#,BYTE,WORD,BYTE,BYTE,BYTE,WORD,WORD,WORD,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,WORD,WORD
NAM,ID,#,Type,UseAI,Type_1,Type_2,DeriveID,PosX,PosY,PosH,Stage,InitLvl,BornActID,DeadAct,BornFace,HitDead,DeadFinish,DropId,Dropodds
#,"Ω«…´ID°æ∏±±æ÷–Ω◊∂Œº‰∏ÙÃÓidŒ™65535,∆≥ˆ…˙µ„X◊¯±ÍŒ™º‰∏Ù◊¯±Í°ø",±∏◊¢,¿‡–Õ°æ0-NPC|1-BOSS|2-ƒæÕ∞|3-œ›⁄Â°ø,Ω«…´ π”√µƒAI°æ√ª”–ÃÓ65500°ø,∆‰À˚¿‡–Õ£∫0:ºÃ≥–Œª÷√≈……˙ 1:æ¯∂‘Œª÷√≈……˙(±Ì æ≈……˙◊¯±Í) 255:≤ª≈……˙(±Ì æ≥ˆ…˙◊¯±Í), «∑Ò «≈……˙π÷ŒÔ,À¿Õˆ≈……˙ID(÷ª÷ß≥÷±æ∆¡µƒID||––∫≈),≥ˆ…˙µ„X◊¯±Í,≥ˆ…˙µ„Y◊¯±Í,≥ˆ…˙µ„H◊¯±Í,À˘‘⁄∏±±æΩ◊∂Œ°æ≥« –ÃÓ0|–¸…Õ∫Õ¡‘ªÍÃÓ0°ø,Ω«…´≥ı ºµ»º∂,≥ˆ…˙’– Ω∂‘”¶µƒID|ActID,À¿Õˆ’– Ω∂‘”¶µƒID|ActID,0:ƒ¨»œµƒ∑ΩœÚ 1:œ‡∑¥µƒ∑ΩœÚ, «∑Ò…˙–ßÀ¿Õˆ, «∑ÒÀ¿Õˆ¡À≤≈ƒ‹Õ®π˝,µÙ¬‰id°æ65535¥˙±Ì√ª”–°ø,µÙ¬‰º∏¬ °æ∞Ÿ∑÷±»°ø
RAN,"[0,65535]",#,"[0,255]","[0,65500]","[0,255]","[0,1]","[0,255]","[0,65500]","[0,65500]","[0,65500]","[0,255]","[0,255]","[0,255]","[0,255]","[0,1]","[0,1]","[0,1]","[0,65535]","[0,100]"
0,1008,∏Á≤º¡÷øÛπ§,0,11,255,0,255,600,60,0,0,1,10,255,0,0,1,65535,0
1,1008,∏Á≤º¡÷øÛπ§,0,11,255,0,255,600,200,0,0,1,10,255,0,0,1,65535,0
2,1008,∏Á≤º¡÷øÛπ§,0,11,255,0,255,700,130,0,0,1,10,255,0,0,1,65535,0
3,373,∆ø◊”,2,0,255,0,255,300,0,0,0,1,255,255,0,0,0,0,100
5,65535,µ⁄“ª∆¡µ⁄“ªΩ◊∂Œ,0,0,255,0,255,1000,250,0,0,1,255,255,0,0,1,65535,0
6,1018, ≥√Œ“œ,0,11,255,0,255,600,40,0,1,1,10,255,0,0,1,65535,0
7,1018, ≥√Œ“œ,0,11,255,0,255,600,220,0,1,1,10,255,0,0,1,65535,0
8,1028,≈£Õ∑Œ¿±¯,0,11,255,0,255,500,110,0,1,1,10,255,0,0,1,65535,0
9,65535,µ⁄“ª∆¡µ⁄∂˛Ω◊∂Œ,0,0,255,0,255,1000,250,0,1,1,255,255,0,0,1,65535,0
10,1018, ≥√Œ“œ,0,11,255,0,255,1200,40,0,2,1,10,255,0,0,1,65535,0
11,1018, ≥√Œ“œ,0,11,255,0,255,1200,220,0,2,1,10,255,0,0,1,65535,0
12,1008,∏Á≤º¡÷øÛπ§,0,11,255,0,255,1250,110,0,2,1,10,255,0,0,1,65535,0
13,379,¥•∑¢∆˜,4,0,1,0,18,1500,200,0,2,1,255,255,0,1,0,65535,0
14,379,¥•∑¢∆˜,4,0,1,0,19,1500,200,0,2,1,255,255,0,1,0,65535,0
15,379,¥•∑¢∆˜,4,0,1,0,20,1500,200,0,2,1,255,255,0,1,0,65535,0
16,379,¥•∑¢∆˜,4,0,1,0,21,1500,200,0,2,1,255,255,0,1,0,65535,0
17,379,¥•∑¢∆˜,4,0,1,0,22,1500,200,0,2,1,255,255,0,1,0,65535,0
18,1018, ≥√Œ“œ,0,11,255,1,255,1700,60,0,2,1,10,255,0,0,1,65535,0
19,1018, ≥√Œ“œ,0,11,255,1,255,1700,130,0,2,1,10,255,0,0,1,65535,0
20,1018, ≥√Œ“œ,0,11,255,1,255,1700,200,0,2,1,10,255,0,0,1,65535,0
21,1028,≈£Õ∑Œ¿±¯,0,11,255,1,255,1200,80,0,2,1,10,255,0,0,1,65535,0
22,1028,≈£Õ∑Œ¿±¯,0,11,255,1,255,1200,180,0,2,1,10,255,0,0,1,65535,0
23,371,ƒæÕ∞,2,0,255,0,255,1560,240,0,2,1,255,255,0,0,0,65535,0
24,371,ƒæÕ∞,2,0,255,0,255,1650,240,0,2,1,255,255,0,0,0,0,100
25,65535,µ⁄∂˛∆¡Ω· ¯,0,0,255,0,255,2000,250,0,2,1,255,255,0,0,1,65535,0
