#,0,1,2,3,4,5,6,7,8
DTD,WORD,BYTE,BYTE,SHORT,SHORT,SHORT,SHORT,BYTE,WORD
NAM,SprId,IdType,Layer,DX,DY,OffsetX,OffsetY,Loop,Move
#,“˝”√ID°æ∏˘æ›∫Û√Êµƒ¿‡–Õæˆ∂®À˜“˝ƒƒ’≈±Ì°ø,ID¿‡–Õ°æ0:æ´¡È[æ≤Ã¨]|1:Ãÿ–ß[Õ¨≤„ª·∏≤∏«æ´¡È]°ø,≤„¿‡–Õ°æ0:‘∂æ∞|1:÷–æ∞|2:µÿ√Ê|3:«∞æ∞°ø,‰÷»æµΩX°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,‰÷»æµΩY°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,∆´“∆X°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,∆´“∆Y°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,—≠ª∑¥Œ ˝,"“∆∂Ø«ß∑÷±»°æ‘∂æ∞Ω®“È0|÷–æ∞(0,1000)|µÿ√Ê±ÿ–ÎŒ™1000|Ω¸æ∞±ÿ–Î¥Û”⁄1000°ø"
RAN,"[0,65500]","[0,250]","[0,250]","[-32000,32000]","[-32000,32000]","[-32000,32000]","[-32000,32000]","[1,250]","[0,65500]"
0,30190,0,0,0,441,0,0,3,0
1,30191,0,2,0,0,0,0,3,1000
2,30192,0,3,0,0,0,0,3,1200
3,25090,1,2,358,310,0,0,1,1000
4,25090,1,2,1382,310,0,0,1,1000
5,25090,1,2,2406,310,0,0,1,1000
6,25095,1,1,295,433,0,0,1,1000
7,25095,1,1,623,433,0,0,1,1000
8,25095,1,1,1000,433,0,0,1,1000
9,25095,1,1,1319,433,0,0,1,1000
10,25095,1,1,1647,433,0,0,1,1000
11,25095,1,1,2024,433,0,0,1,1000
12,25095,1,1,2343,433,0,0,1,1000
13,25095,1,1,2671,433,0,0,1,1000
14,25095,1,1,3044,433,0,0,1,1000
